Index,Quantity,Part Number,Manufacturer Part Number,Description,Customer Reference,Backorder,Unit Price,Extended Price
1,10,490-12344-1-ND,GRT21BC81C106ME01L,CAP CER 10UF 16V X6S 0805,,0,0.14600,$1.46
2,10,490-3338-1-ND,GRM21BR61C475KA88L,CAP CER 4.7UF 16V X5R 0805,,0,0.12000,$1.20
3,50,1276-6495-1-ND,CL21F105ZBFNNNG,CAP CER 1UF 50V Y5V 0805,,0,0.02200,$1.10
4,50,1276-1003-1-ND,CL21B104KBCNNNC,CAP CER 0.1UF 50V X7R 0805,,0,0.02600,$1.30
5,10,490-1308-1-ND,GRM155R71H472KA01D,CAP CER 4700PF 50V X7R 0402,,0,0.01100,$0.11
6,10,490-3248-1-ND,GRM155R71H332KA01D,CAP CER 3300PF 50V X7R 0402,,0,0.01100,$0.11
7,10,490-1297-1-ND,GRM1555C1H471JA01D,CAP CER 470PF 50V NP0 0402,,0,0.02600,$0.26
8,50,P1.00MFCT-ND,ERJ-8ENF1004V,RES SMD 1M OHM 1% 1/4W 1206,,0,0.02820,$1.41
9,3,P300KDACT-ND,ERA-6AEB304V,RES SMD 300K OHM 0.1% 1/8W 0805,,0,0.63000,$1.89
10,50,P221KCCT-ND,ERJ-6ENF2213V,RES SMD 221K OHM 1% 1/8W 0805,,0,0.02200,$1.10
11,50,P100KCCT-ND,ERJ-6ENF1003V,RES SMD 100K OHM 1% 1/8W 0805,,0,0.02200,$1.10
12,3,P13.7KDACT-ND,ERA-6AEB1372V,RES SMD 13.7K OHM 0.1% 1/8W 0805,,0,0.63000,$1.89
13,50,P3.01KCCT-ND,ERJ-6ENF3011V,RES SMD 3.01K OHM 1% 1/8W 0805,,0,0.02200,$1.10
14,4,541-1.00KAFCT-ND,CRCW25121K00FKEG,RES SMD 1K OHM 1% 1W 2512,,0,0.36000,$1.44
15,50,P1.00KCCT-ND,ERJ-6ENF1001V,RES SMD 1K OHM 1% 1/8W 0805,,0,0.02200,$1.10
16,50,1276-5671-1-ND,RC3216F101CS,RES SMD 100 OHM 1% 1/4W 1206,,0,0.01840,$0.92
17,50,P100CCT-ND,ERJ-6ENF1000V,RES SMD 100 OHM 1% 1/8W 0805,,0,0.02200,$1.10
18,10,490-4801-1-ND,NCP15XH103F03RC,THERMISTOR 10K OHM NTC 0402 SMD,,0,0.10700,$1.07
19,2,SMCJ28AFSCT-ND,SMCJ28A,TVS DIODE 28VWM 45.4VC SMC,,0,0.46000,$0.92
20,10,1N4148W-FDICT-ND,1N4148W-7-F,DIODE GEN PURP 100V 300MA SOD123,,0,0.14900,$1.49
21,2,MURS360T3GOSCT-ND,MURS360T3G,DIODE GEN PURP 600V 3A SMC,,0,0.65000,$1.30
22,10,MMSZ5232BS-FDICT-ND,MMSZ5232BS-7-F,DIODE ZENER 5.6V 200MW SOD323,,0,0.24700,$2.47
23,4,MMSZ5246B-FDICT-ND,MMSZ5246B-7-F,DIODE ZENER 16V 500MW SOD123,,0,0.20000,$0.80
24,2,SMBJ30A-FDICT-ND,SMBJ30A-13-F,TVS DIODE 30VWM 48.4VC SMB,,0,0.36000,$0.72
25,2,MUR860GOS-ND,MUR860G,DIODE GEN PURP 600V 8A TO220AC,,0,0.90000,$1.80
26,4,296-30572-1-ND,CSD18504Q5A,MOSFET N-CH 40V 8SON,,0,1.53000,$6.12
27,10,BSS138CT-ND,BSS138,MOSFET N-CH 50V 220MA SOT-23,,0,0.17800,$1.78
28,10,BSS84PH6433XTMA1CT-ND,BSS84PH6433XTMA1,MOSFET P-CH 60V 170MA SOT-23,,0,0.16700,$1.67
29,4,MMBT3906FSCT-ND,MMBT3906,TRANS PNP 40V 0.2A SOT-23,,0,0.20000,$0.80
30,1,SC1396-ND,JCAP,POWER JACK SEAL CAP,,0,1.65000,$1.65
31,1,SC1390-ND,L712AS,CONN PWR JACK 2.5MM SEALED,,0,6.55000,$6.55
32,10,455-2271-ND,B6B-XH-A(LF)(SN),CONN HEADER XH TOP 6POS 2.5MM,,0,0.25800,$2.58
33,2,497-13798-1-ND,STCC2540IQTR,IC USB CHARGING CTLR SW 16VFQFPN,,0,1.09000,$2.18
34,50,P10.0KCCT-ND,ERJ-6ENF1002V,RES SMD 10K OHM 1% 1/8W 0805,,0,0.02200,$1.10
35,50,P499KCCT-ND,ERJ-6ENF4993V,RES SMD 499K OHM 1% 1/8W 0805,,0,0.02200,$1.10
36,2,296-43798-1-ND,LDC0851HDSGT,INDUCTIVE PROXIMITY SWITCH 8WSON,,0,1.34000,$2.68
,,,,,,,Subtotal,$57.37
